企业名称,线索id,线索标题,线索链接,作品ID,作品名,维权状态,掌柜名,店铺名,店铺链接,线索入库时间,店铺状态,开店时间,店铺类型
山下有松（北京）文化传播有限公司,32164111,Songmont山下有松中号豆腐包重置系列设计师斜挎小方包龚琳娜,https://item.taobao.com/item.htm?id=787333890851&skuId=5373536052834,199423,Songmont,维权成功,我是美女丁丁01,HK品牌包包2024新款,https://shop578846109.taobao.com,2024/5/10 21:33,0,,未知
山下有松（北京）文化传播有限公司,32164113,Songmont山下有松中号月弯包松月系列设计师月牙包通勤单肩腋下包,https://item.taobao.com/item.htm?id=787424029601&skuId=5373554068358,199423,Songmont,维权成功,我是美女丁丁01,HK品牌包包2024新款,https://shop578846109.taobao.com,2024/5/10 21:33,0,,未知
山下有松（北京）文化传播有限公司,32164114,Songmont山下有松半日闲国风老花系列文墨包设计师通勤单肩斜挎包,https://item.taobao.com/item.htm?id=787333554804&skuId=5545888195317,199423,Songmont,维权成功,我是美女丁丁01,HK品牌包包2024新款,https://shop578846109.taobao.com,2024/5/10 21:34,0,,未知
山下有松（北京）文化传播有限公司,32164118,Songmont山下有松半日闲国风老花系列山谷托特包大容量通勤单肩包,https://item.taobao.com/item.htm?id=787333310388&skuId=5373531644737,199423,Songmont,维权成功,我是美女丁丁01,HK品牌包包2024新款,https://shop578846109.taobao.com,2024/5/10 21:35,0,,未知
山下有松（北京）文化传播有限公司,32572927,山下有松挂耳系列mini屋檐包春夏新款牛皮通勤斜挎hobo包,https://item.taobao.com/item.htm?id=809068666337,199423,Songmont,维权成功,万象天地 折扣店,万象天地 折扣店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWZQqwfLNshexnMYPgLFGwHREZTuq4Y3wiBiYziwNU1v4m,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32572950,【山下有松】中号菜篮子系列设计师款牛皮通勤大容量水桶包,https://item.taobao.com/item.htm?id=809335172038,199423,Songmont,维权成功,万象天地 折扣店,万象天地 折扣店,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWZQqwfLNshexnMYPgLFGwHREZTuq4Y3wiBiYziwNU1v4m,2024/6/30 9:48,0,,未知
山下有松（北京）文化传播有限公司,32559674,Songmont菜篮子包山下有松包包头层牛皮大容量上班通勤手提水桶包,https://item.taobao.com/item.htm?id=802001873461,199423,Songmont,维权成功,松上有山原创设计,松上有山原创设计,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWU4yZrgEMry4EKkGBbmoRe2qPwPDk1q6UnTFMWMt1yH1e,2024/6/28 22:39,1,2024/5/17 13:21,老店
山下有松（北京）文化传播有限公司,32559696,Songmont山下有松挂耳托特系列中号头层牛皮轻背负通勤单肩斜挎包,https://item.taobao.com/item.htm?id=802006209189,199423,Songmont,维权成功,松上有山原创设计,松上有山原创设计,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWU4yZrgEMry4EKkGBbmoRe2qPwPDk1q6UnTFMWMt1yH1e,2024/6/28 22:39,1,2024/5/17 13:21,老店
山下有松（北京）文化传播有限公司,32559711,songmont麂皮挂耳托特包慵懒上班通勤包单肩斜挎包董洁推荐包包,https://item.taobao.com/item.htm?id=804923589062,199423,Songmont,维权成功,松上有山原创设计,松上有山原创设计,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWU4yZrgEMry4EKkGBbmoRe2qPwPDk1q6UnTFMWMt1yH1e,2024/6/28 22:39,1,2024/5/17 13:21,老店
山下有松（北京）文化传播有限公司,32559779,Songmont山下有松高级感包包2024新款潮女包秋冬简约百搭通勤单肩,https://item.taobao.com/item.htm?id=800105667564,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559734,Songmont山下有松欧美大容量女包2024新款包包高级感女士单肩斜挎,https://item.taobao.com/item.htm?id=800105767881,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559769,Songmont山下有松日韩学院风单肩包包女大容量通勤女包高级质感手,https://item.taobao.com/item.htm?id=800108199242,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559778,Songmont山下有松日系潮流宽肩带牛津布饺子包斜挎包男红色质感百,https://item.taobao.com/item.htm?id=800116523799,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559691,Songmont山下有松日韩复古软皮水桶包包女大容量2024新款高级感通,https://item.taobao.com/item.htm?id=800118927461,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559810,Songmont山下有松韩国慵懒风打结肩带软皮单肩包包女ins超火休闲,https://item.taobao.com/item.htm?id=800119659585,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559754,Songmont山下有松尼龙帆布菱格腋下包包女ins超火云朵包时尚百搭,https://item.taobao.com/item.htm?id=800120219180,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
山下有松（北京）文化传播有限公司,32559794,Songmont山下有松ins超火网红同款荔枝纹水桶包复古单肩腋下包大,https://item.taobao.com/item.htm?id=800129003883,199423,Songmont,维权成功,司琬名品,司琬名品,https://store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWV8ybX5V5PgVNwEKgcb7FAEnMUfN1qJz8XammKP6Mhgcp,2024/6/28 22:39,1,,未知
