企业名称,线索id,线索标题,线索是否下架,线索链接,作品ID,作品名,掌柜名,店铺名,店铺链接,线索入库时间,开店时间,"店铺状态（是否还存在,1表示还开着2,0表示关店了）"
圣智学习（北京）教育科技有限公司,33380086,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰,已下架,https://item.taobao.com/item.htm?id=830746137410,200468,通途英语 听说与思辩 1,佰年热恋情侣馆,凡少图书,https://shop103459739.taobao.com,2024/9/10 3:42,2013/4/13 15:37,1
圣智学习（北京）教育科技有限公司,33347106,通途英语听说与思辨1,已下架,https://item.taobao.com/item.htm?id=831050510243,200468,通途英语 听说与思辩 1,蛋猫儿,馨儿旧书店,https://shop72924528.taobao.com,2024/9/4 22:46,2012/7/23 18:31,1
圣智学习（北京）教育科技有限公司,33347109,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=831358100243,200468,通途英语 听说与思辩 1,琪辉小百货,百文书舍,https://shop136463566.taobao.com,2024/9/4 22:47,2015/10/10 10:00,1
圣智学习（北京）教育科技有限公司,33380090,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=831384071151,200468,通途英语 听说与思辩 1,美丽天使来,未来星书店,https://shop102897791.taobao.com,2024/9/10 3:42,2013/3/20 17:33,1
圣智学习（北京）教育科技有限公司,33380096,通途英语1读写与思辨听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=831753878724,200468,通途英语 听说与思辩 1,凯培kaipei,凯培书屋,https://shop179189579.taobao.com,2024/9/10 3:42,2019/6/11 17:05,1
圣智学习（北京）教育科技有限公司,33380100,通途英语 听说与思辨1,已下架,https://item.taobao.com/item.htm?id=832095144831,200468,通途英语 听说与思辩 1,美丽天使来,未来星书店,https://shop102897791.taobao.com,2024/9/10 3:43,2013/3/20 17:33,1
圣智学习（北京）教育科技有限公司,33380087,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=832297758377,200468,通途英语 听说与思辩 1,卓妮亚芬女装企业店,小艺图书城,https://shop157163626.taobao.com,2024/9/10 3:42,2016/5/21 14:34,1
圣智学习（北京）教育科技有限公司,33380089,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹） 江苏凤凰,已下架,https://item.taobao.com/item.htm?id=832396112703,200468,通途英语 听说与思辩 1,樱花社,诸葛书店,https://shop398380725.taobao.com,2024/9/10 3:42,2017/1/5 15:17,1
圣智学习（北京）教育科技有限公司,33380093,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=832536026563,200468,通途英语 听说与思辩 1,yyilian,三生图书屋,https://shop35261265.taobao.com,2024/9/10 3:42,2008/1/6 19:39,1
圣智学习（北京）教育科技有限公司,33380092,通途英语 听说与思辨1,已下架,https://item.taobao.com/item.htm?id=832580899498,200468,通途英语 听说与思辩 1,乘风破浪567717501,天天书单,https://shop330995902.taobao.com,2024/9/10 3:42,2017/2/28 14:25,1
圣智学习（北京）教育科技有限公司,33380083,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=832639966171,200468,通途英语 听说与思辩 1,乘风破浪567717501,天天书单,https://shop330995902.taobao.com,2024/9/10 3:42,2017/2/28 14:25,1
圣智学习（北京）教育科技有限公司,33380091,通途英语 1 读写与思辨 听说与思辨略有铅笔笔迹 江苏凤凰教育出,已下架,https://item.taobao.com/item.htm?id=832796031563,200468,通途英语 听说与思辩 1,1原来我不帅,中国正阳书店,https://shop71533892.taobao.com,2024/9/10 3:42,2012/4/19 23:42,1
圣智学习（北京）教育科技有限公司,33380084,通途英语(1) 听说与思辩+读写与思辨(两本合售) 江苏凤凰,已下架,https://item.taobao.com/item.htm?id=832842281975,200468,通途英语 听说与思辩 1,joyceyyy091207,爱尚折扣书社,https://shop107480290.taobao.com,2024/9/10 3:42,NaT,0
圣智学习（北京）教育科技有限公司,33380095,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹）,已下架,https://item.taobao.com/item.htm?id=833024677007,200468,通途英语 听说与思辩 1,黑马音像,黑马书坊,https://shop479217792.taobao.com,2024/9/10 3:42,2021/5/11 18:19,1
圣智学习（北京）教育科技有限公司,33380094,通途英语 1 读写与思辨 听说与思辨（略有铅笔笔迹） 江苏凤凰,已下架,https://item.taobao.com/item.htm?id=833080545324,200468,通途英语 听说与思辩 1,芍春防护用品,正礼书店,https://shop573723297.taobao.com,2024/9/10 3:42,2019/6/17 20:20,1
